latitude,longitude
-34.6453,145.7845
-34.6093,148.5825
-34.663,147.7319
-32.4455,146.5685
-35.888,150.0087
-29.3277,149.2893
-35.3556,147.5513
-37.4411,148.2638
-35.0864,143.736
-28.3367,150.3516
-32.6028,150.5817
-36.2947,144.2407
-29.0723,150.7993
-31.6075,152.7162
-29.2299,149.4702
-29.7113,150.914
-33.252,150.8638
-28.7327,147.1349
-31.0178,152.0587
-37.0958,147.5151
-34.5685,146.7182
-35.5757,146.3362
-40.8938,144.73
-31.2504,147.0929
-37.0263,148.7779
-37.4203,142.8203
-32.8648,148.9176
-32.8394,146.4783
-27.5456,147.5615
-35.879,145.4134
-34.4616,150.88
-36.9136,149.3595
-27.913,150.6009
-31.6065,149.7022
-34.3575,147.2195
-34.8692,146.3722
-27.5189,151.9524
-32.84,151.5045
-35.1079,147.3997
-37.1439,140.7544
-27.7056,148.3708
-28.0311,152.2224
-41.99,148.2611
-32.1801,149.1929
-31.8259,145.7778
-35.8639,146.8203
-36.3492,141.3577
-29.4,149.6394
-36.1159,145.9442
-29.414,152.9814
-31.2313,152.3951
-27.9544,150.9965
-37.6285,148.4464
-33.5115,148.1064
-31.7637,145.4532
-40.9472,145.3261
-33.958,149.8625
-38.0398,142.8441
-29.522,148.6793
-35.5724,150.137
-30.0429,152.2802
-29.2514,150.7978
-28.648,147.9277
-36.4762,149.5148
-35.3447,146.9063
-36.1855,149.9325
-35.1145,141.2627
-37.3255,148.6458
-31.0142,151.9644
-33.8025,150.4508
-28.6959,152.2228
-29.4316,149.3493
-29.1778,150.9474
-37.8518,142.4562
-33.6777,142.6005
-30.5887,140.7057
-35.226,142.3139
-30.6964,152.6077
-36.4876,144.8828
-33.808,140.6089
-29.446,150.5697
-36.3389,141.7542
-33.253,150.7816
-42.2455,146.6637
-27.7026,147.4524
-35.9971,146.6832
-27.5488,152.5015
-27.9266,153.1305
-42.293,146.7685
-35.6571,145.7676
-28.4806,140.4885
-34.9695,147.4322
-34.4724,150.8891
-28.1097,144.9946
-41.3186,144.9376
-27.9112,150.4776
-30.7408,152.1829
-34.8665,146.4218
-32.6466,150.7636
-30.9479,152.0974
-37.3077,143.0601
-35.4188,148.0008
-30.118,151.6243
-29.6449,152.1171
-29.0372,150.805
-36.8384,147.0636
-37.4822,146.7751
-37.7553,146.2851
-29.3172,150.8136
-35.5524,147.6778
-36.2898,145.5717
-34.2183,146.9473
-36.3476,142.3726
-31.4829,151.2153
-35.7768,145.6064
-28.2644,150.961
-32.1407,147.1701
-34.2211,147.4756
-37.7383,143.1707
-29.8867,152.7148
-27.4359,149.4
-37.2126,146.3729
-28.9994,153.0408
-37.3204,148.3763
-37.6102,148.5464
-35.8344,146.9127
-36.0649,146.603
-28.7983,140.5669
-36.5497,145.5729
-30.8657,145.9314
-38.0799,143.2449
-27.7423,149.2272
-35.759,147.1643
-37.6957,148.6944
-28.7921,152.2183
-38.3025,145.9725
-31.1608,148.9971
-34.3405,147.3863
-35.3015,145.5045
-36.3462,141.5583
-37.7218,145.9755
-37.0392,142.1851
-35.7906,145.6165
-41.3158,146.6371
-28.9135,153.1798
-32.0372,151.9764
-31.4552,151.6178
-42.4645,147.3803
-29.4844,152.2361
-36.8883,141.6317
-36.2371,140.5796
-32.0897,149.6695
-33.7497,145.9079
-36.2158,148.5814
-37.5286,148.7438
-41.1054,144.8678
-37.67,149.068
-35.4896,143.2092
-27.7583,141.6467
-37.6987,143.4573
-37.7173,146.2871
-32.7753,151.3134
-34.0651,145.9804
-36.3045,149.3201
-30.598,148.6333
-35.116,146.5786
-28.2229,148.643
-37.4522,145.2335
-28.3817,148.2373
-34.4169,142.2633
-34.9135,145.7691
-35.8255,145.925
-27.7698,150.9013
-29.3878,145.1226
-37.9185,143.866
-29.2304,148.5832
-33.6589,148.5949
-31.6028,147.27
-29.7693,150.3393
-32.505,150.8764
-34.5987,144.6729
-31.6572,145.9227
-41.6546,146.2856
-35.6457,148.0835
-30.8117,152.2868
-28.9523,148.8966
-36.2977,140.9548
-35.9113,146.8089
-41.1244,145.2539
-37.5428,145.3945
-36.2213,146.3108
-34.2618,150.2061
-29.905,141.0965
-37.8707,143.2283
-28.5662,140.5728
-35.1525,143.6598
-28.3185,142.688
-40.9197,145.3756
